"devMac","devName","devOwner","devType","devVendor","devFavorite","devGroup","devComments","devFirstConnection","devLastConnection","devLastIP","devPrimaryIPv4","devPrimaryIPv6","devVlan","devForceStatus","devStaticIP","devScan","devLogEvents","devAlertEvents","devAlertDown","devSkipRepeated","devLastNotification","devPresentLastScan","devIsNew","devLocation","devIsArchived","devParentMAC","devParentPort","devParentRelType","devIcon","devGUID","devSite","devSSID","devSyncHubNode","devSourcePlugin","devFQDN","devMacSource","devNameSource","devFQDNSource","devLastIPSource","devVendorSource","devSSIDSource","devParentMACSource","devParentPortSource","devParentRelTypeSource","devVlanSource","devCustomProps","devReqNicsOnline","devCanSleep"
"98:b7:85:23:33:fe","(name not found)","","Gateway","Shenzhen 10Gtek Transceivers Co., Limited","0","","","2026-07-18 01:15:33","2026-07-18 06:09:47","192.168.1.1","192.168.1.1","","None","None","0","1","1","1","0","0","2026-07-18 06:45:55","0","1","","0","","","[]","PGkgY2xhc3M9ImZhIGZhLWdsb2JlIj48L2k+","dcb0eea5-77d1-445e-a413-20edb73af3cc","","","NAX-d884006e","ARPSCAN","None","ARPSCAN","NEWDEV","NEWDEV","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"10:5a:95:c8:81:c7","(name not found)","","Smart Switch","TP-Link Systems Inc.","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","192.168.1.2","192.168.1.2","","None","None","0","1","1","1","0","0","2026-07-18 01:15:46","1","1","","0","","","[]","PGkgY2xhc3M9ImZhLXNvbGlkIGZhLXRvZ2dsZS1vbiI+PC9pPg==","c766df9a-9bec-45cd-bbe4-31ac16e5da13","","","NAX-d884006e","ARPSCAN","None","ARPSCAN","NEWDEV","NEWDEV","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"a8:29:48:ea:42:00","(name not found)","","Smart Switch","TP-Link Systems Inc.","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","192.168.1.3","192.168.1.3","","None","None","0","1","1","1","0","0","2026-07-18 18:28:46","1","1","","0","","","[]","PGkgY2xhc3M9ImZhLXNvbGlkIGZhLXRvZ2dsZS1vbiI+PC9pPg==","b1cda0a0-f783-4f38-95ef-a316315e7c36","","","NAX-d884006e","ARPSCAN","None","ARPSCAN","NEWDEV","NEWDEV","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"58:d8:12:02:3f:96","(name not found)","","Smart Switch","TP-Link Systems Inc.","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","192.168.1.4","192.168.1.4","","None","None","0","1","1","1","0","0","2026-07-18 01:15:46","1","1","","0","","","[]","PGkgY2xhc3M9ImZhLXNvbGlkIGZhLXRvZ2dsZS1vbiI+PC9pPg==","b2d768a2-d9c2-4585-b3db-2f21c2fd7039","","","NAX-d884006e","ARPSCAN","None","ARPSCAN","NEWDEV","NEWDEV","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"78:72:64:42:d3:e2","TRUENAS","","Server","IEEE Registration Authority","0","","","2026-07-18 01:15:33","2026-07-19 01:34:15","192.168.1.7","192.168.1.7","","None","None","0","1","1","1","0","0","2026-07-19 01:40:13","0","1","","0","","","[]","PGkgY2xhc3M9ImZhIGZhLXNlcnZlciI+PC9pPg==","2f73161f-35bd-4e5f-b70f-5ccf1a4e9d1e","","","NAX-d884006e","ARPSCAN","TRUENAS","ARPSCAN","NBTSCAN","NBTSCAN","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"78:72:64:42:d3:e1","TRUENAS","","Server","IEEE Registration Authority","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","192.168.1.7","192.168.1.7","","None","None","0","1","1","1","0","0","2026-07-19 01:40:13","1","1","","0","","","[]","PGkgY2xhc3M9ImZhIGZhLXNlcnZlciI+PC9pPg==","f95fe33a-0a82-4e66-8834-3c343f363a5d","","","NAX-d884006e","ARPSCAN","TRUENAS","ARPSCAN","NBTSCAN","NBTSCAN","ARPSCAN","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"internet","136-51-52-151.googlefiber.net","","Gateway","","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","136.50.186.96","136.50.186.96","","None","None","0","1","1","1","0","0","2026-07-18 18:23:58","1","1","","0","null","","[]","PGkgY2xhc3M9ImZhIGZhLWdsb2JlIj48L2k+","05ca58cd-16cf-46f9-aafc-384832af4d07","","","NAX-d884006e","INTRNT","136-51-52-151.googlefiber.net.","INTRNT","DIGSCAN","DIGSCAN","INTRNT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"64:62:66:2f:05:d0","(name not found)","","","IEEE Registration Authority","0","","","2026-07-18 01:15:33","2026-07-19 01:58:56","192.168.1.5","192.168.1.5","","None","None","0","1","1","1","0","0","2026-07-18 18:28:46","1","1","","0","","","[]","","f1874ba5-94c9-4ec2-ae5e-1483c2a8f0f2","","","NAX-d884006e","local_MAC","None","local_MAC","NEWDEV","NEWDEV","local_MAC","VNDRPDT","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:5a:4c:c7:6a","(name not found)","","","","0","","","2026-07-18 02:44:12","2026-07-19 01:58:56","192.168.1.1","192.168.1.1","","None","None","0","1","1","1","0","0","2026-07-18 18:11:14","1","1","","0","","","[]","","f95a26cd-b794-431d-b19d-d6a26348b48a","","","NAX-d884006e","NMAPDEV","None","NMAPDEV","NEWDEV","NEWDEV","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
"fa:ce:f1:ee:dc:d9","TRUENAS","","Server","","0","","","2026-07-18 02:44:12","2026-07-18 08:33:14","192.168.1.100","192.168.1.100","","None","None","0","1","1","1","0","0","2026-07-18 09:09:02","0","1","","0","","","[]","PGkgY2xhc3M9ImZhIGZhLXNlcnZlciI+PC9pPg==","8bea8e54-9183-4e1f-83e1-3504f218c20e","","","NAX-d884006e","NMAPDEV","TRUENAS","NMAPDEV","NBTSCAN","NBTSCAN","NMAPDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","NEWDEV","W1t7IkNVU1RQUk9QX2ljb24iOiJQR2tnWTJ4aGMzTTlJbVpoY3lCbVlTMTBjbUZ6YUMxaGJIUWlQand2YVQ0PSJ9LHsiQ1VTVFBST1BfdHlwZSI6ImRlbGV0ZV9kZXYifSx7IkNVU1RQUk9QX25hbWUiOiIifSx7IkNVU1RQUk9QX2FyZ3MiOiJEZWxldGUgZGV2aWNlIn0seyJDVVNUUFJPUF9ub3RlcyI6IiJ9LHsiQ1VTVFBST1Bfc2hvdyI6dHJ1ZX1dXQ==","0","None"
